Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	100	100	100	100	100	100	100	0
0	0	0	0	0	0	0	0	1024
1	5659	5659	5659	5659	5659	5659	5659	1024
2	6734	6734	6734	6734	6734	6734	6734	1024
3	8014	8014	8014	8014	8014	8014	8014	1024
4	9536	9536	9536	9536	9536	9536	9536	1024
5	11348	11348	11348	11348	11348	11348	11348	1024
6	13504	13504	13504	13504	13504	13504	13504	1024
7	16070	16070	16070	16070	16070	16070	16070	1024
8	19123	19123	19123	19123	19123	19123	19123	1024
9	22757	22757	22757	22757	22757	22757	22757	1024
10	27081	27081	27081	27081	27081	27081	27081	1024
11	31955	31955	31955	31955	31955	31955	31955	1024
12	37707	37707	37707	37707	37707	37707	37707	1024
13	44495	44495	44495	44495	44495	44495	44495	1024
14	52504	52504	52504	52504	52504	52504	52504	1024
15	61954	61954	61954	61954	61954	61954	61954	1024
16	73106	73106	73106	73106	73106	73106	73106	1024
17	86265	86265	86265	86265	86265	86265	86265	1024
18	101793	101793	101793	101793	101793	101793	101793	1024
19	120116	120116	120116	120116	120116	120116	120116	1024
20	141736	141736	141736	141736	141736	141736	141736	1024
21	165832	165832	165832	165832	165832	165832	165832	1024
22	194023	194023	194023	194023	194023	194023	194023	1024
23	227007	227007	227007	227007	227007	227007	227007	1024
24	265598	265598	265598	265598	265598	265598	265598	1024
25	310750	310750	310750	310750	310750	310750	310750	1024
26	363577	363577	363577	363577	363577	363577	363577	1024
27	425385	425385	425385	425385	425385	425385	425385	1024
28	497701	497701	497701	497701	497701	497701	497701	1024
29	582310	582310	582310	582310	582310	582310	582310	1024
30	681302	681302	681302	681302	681302	681302	681302	1024
31	790311	790311	790311	790311	790311	790311	790311	1024
32	916761	916761	916761	916761	916761	916761	916761	1024
33	1063442	1063442	1063442	1063442	1063442	1063442	1063442	1024
34	1233593	1233593	1233593	1233593	1233593	1233593	1233593	1024
35	1430968	1430968	1430968	1430968	1430968	1430968	1430968	1024
36	1659923	1659923	1659923	1659923	1659923	1659923	1659923	1024
37	1925510	1925510	1925510	1925510	1925510	1925510	1925510	1024
38	2233592	2233592	2233592	2233592	2233592	2233592	2233592	1024
39	2590967	2590967	2590967	2590967	2590967	2590967	2590967	1024
40	3005521	3005521	3005521	3005521	3005521	3005521	3005521	1024
41	3456350	3456350	3456350	3456350	3456350	3456350	3456350	1024
42	3974802	3974802	3974802	3974802	3974802	3974802	3974802	1024
43	4571022	4571022	4571022	4571022	4571022	4571022	4571022	1024
44	5256676	5256676	5256676	5256676	5256676	5256676	5256676	1024
45	6045177	6045177	6045177	6045177	6045177	6045177	6045177	1024
46	6951954	6951954	6951954	6951954	6951954	6951954	6951954	1024
47	7994747	7994747	7994747	7994747	7994747	7994747	7994747	1024
48	9193959	9193959	9193959	9193959	9193959	9193959	9193959	1024
49	10573053	10573053	10573053	10573053	10573053	10573053	10573053	1024
50	12159010	12159010	12159010	12159010	12159010	12159010	12159010	1024
51	13861272	13861272	13861272	13861272	13861272	13861272	13861272	1024
52	15801850	15801850	15801850	15801850	15801850	15801850	15801850	1024
53	18014109	18014109	18014109	18014109	18014109	18014109	18014109	1024
54	20536084	20536084	20536084	20536084	20536084	20536084	20536084	1024
55	23411136	23411136	23411136	23411136	23411136	23411136	23411136	1024
56	26688695	26688695	26688695	26688695	26688695	26688695	26688695	1024
57	30425112	30425112	30425112	30425112	30425112	30425112	30425112	1024
58	34684628	34684628	34684628	34684628	34684628	34684628	34684628	1024
59	39540476	39540476	39540476	39540476	39540476	39540476	39540476	1024
60	45076143	45076143	45076143	45076143	45076143	45076143	45076143	1024
61	50936041	50936041	50936041	50936041	50936041	50936041	50936041	1024
62	57557726	57557726	57557726	57557726	57557726	57557726	57557726	1024
63	65040231	65040231	65040231	65040231	65040231	65040231	65040231	1024
64	73495461	73495461	73495461	73495461	73495461	73495461	73495461	1024
65	83049871	83049871	83049871	83049871	83049871	83049871	83049871	1024
66	93846354	93846354	93846354	93846354	93846354	93846354	93846354	1024
67	106046380	106046380	106046380	106046380	106046380	106046380	106046380	1024
68	119832409	119832409	119832409	119832409	119832409	119832409	119832409	1024
69	135410623	135410623	135410623	135410623	135410623	135410623	135410623	1024
70	153014003	153014003	153014003	153014003	153014003	153014003	153014003	1024
71	171375684	171375684	171375684	171375684	171375684	171375684	171375684	1024
72	191940766	191940766	191940766	191940766	191940766	191940766	191940766	1024
73	214973658	214973658	214973658	214973658	214973658	214973658	214973658	1024
74	240770497	240770497	240770497	240770497	240770497	240770497	240770497	1024
75	269662956	269662956	269662956	269662956	269662956	269662956	269662956	1024
76	302022511	302022511	302022511	302022511	302022511	302022511	302022511	1024
77	338265213	338265213	338265213	338265213	338265213	338265213	338265213	1024
78	378857038	378857038	378857038	378857038	378857038	378857038	378857038	1024
79	424319883	424319883	424319883	424319883	424319883	424319883	424319883	1024
80	475238269	475238269	475238269	475238269	475238269	475238269	475238269	1024
81	527514478	527514478	527514478	527514478	527514478	527514478	527514478	1024
82	585541071	585541071	585541071	585541071	585541071	585541071	585541071	1024
