Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	100	100	100	100	100	100	100	0
0	0	0	0	0	0	0	0	1024
1	501	501	501	501	501	501	501	1024
2	776	776	776	776	776	776	776	1024
3	1201	1201	1201	1201	1201	1201	1201	1024
4	1859	1859	1859	1859	1859	1859	1859	1024
5	2878	2878	2878	2878	2878	2878	2878	1024
6	4456	4456	4456	4456	4456	4456	4456	1024
7	6897	6897	6897	6897	6897	6897	6897	1024
8	10677	10677	10677	10677	10677	10677	10677	1024
9	16528	16528	16528	16528	16528	16528	16528	1024
10	25586	25586	25586	25586	25586	25586	25586	1024
11	29424	29424	29424	29424	29424	29424	29424	1024
12	33837	33837	33837	33837	33837	33837	33837	1024
13	38913	38913	38913	38913	38913	38913	38913	1024
14	44750	44750	44750	44750	44750	44750	44750	1024
15	51463	51463	51463	51463	51463	51463	51463	1024
16	59182	59182	59182	59182	59182	59182	59182	1024
17	68059	68059	68059	68059	68059	68059	68059	1024
18	78268	78268	78268	78268	78268	78268	78268	1024
19	90008	90008	90008	90008	90008	90008	90008	1024
20	103509	103509	103509	103509	103509	103509	103509	1024
21	130422	130422	130422	130422	130422	130422	130422	1024
22	164332	164332	164332	164332	164332	164332	164332	1024
23	207058	207058	207058	207058	207058	207058	207058	1024
24	260893	260893	260893	260893	260893	260893	260893	1024
25	328725	328725	328725	328725	328725	328725	328725	1024
26	414194	414194	414194	414194	414194	414194	414194	1024
27	521884	521884	521884	521884	521884	521884	521884	1024
28	657574	657574	657574	657574	657574	657574	657574	1024
29	828543	828543	828543	828543	828543	828543	828543	1024
30	1043964	1043964	1043964	1043964	1043964	1043964	1043964	1024
31	1221438	1221438	1221438	1221438	1221438	1221438	1221438	1024
32	1429082	1429082	1429082	1429082	1429082	1429082	1429082	1024
33	1672026	1672026	1672026	1672026	1672026	1672026	1672026	1024
34	1956271	1956271	1956271	1956271	1956271	1956271	1956271	1024
35	2288837	2288837	2288837	2288837	2288837	2288837	2288837	1024
36	2677939	2677939	2677939	2677939	2677939	2677939	2677939	1024
37	3133189	3133189	3133189	3133189	3133189	3133189	3133189	1024
38	3665831	3665831	3665831	3665831	3665831	3665831	3665831	1024
39	4289022	4289022	4289022	4289022	4289022	4289022	4289022	1024
40	5018156	5018156	5018156	5018156	5018156	5018156	5018156	1024
41	5404554	5404554	5404554	5404554	5404554	5404554	5404554	1024
42	5820705	5820705	5820705	5820705	5820705	5820705	5820705	1024
43	6268899	6268899	6268899	6268899	6268899	6268899	6268899	1024
44	6751604	6751604	6751604	6751604	6751604	6751604	6751604	1024
45	7271478	7271478	7271478	7271478	7271478	7271478	7271478	1024
46	7831382	7831382	7831382	7831382	7831382	7831382	7831382	1024
47	8434398	8434398	8434398	8434398	8434398	8434398	8434398	1024
48	9083847	9083847	9083847	9083847	9083847	9083847	9083847	1024
49	9783303	9783303	9783303	9783303	9783303	9783303	9783303	1024
50	10536617	10536617	10536617	10536617	10536617	10536617	10536617	1024
51	12327842	12327842	12327842	12327842	12327842	12327842	12327842	1024
52	14423575	14423575	14423575	14423575	14423575	14423575	14423575	1024
53	16875583	16875583	16875583	16875583	16875583	16875583	16875583	1024
54	19744432	19744432	19744432	19744432	19744432	19744432	19744432	1024
55	23100986	23100986	23100986	23100986	23100986	23100986	23100986	1024
56	27028153	27028153	27028153	27028153	27028153	27028153	27028153	1024
57	31622939	31622939	31622939	31622939	31622939	31622939	31622939	1024
58	36998839	36998839	36998839	36998839	36998839	36998839	36998839	1024
59	43288641	43288641	43288641	43288641	43288641	43288641	43288641	1024
60	50647710	50647710	50647710	50647710	50647710	50647710	50647710	1024
61	55712482	55712482	55712482	55712482	55712482	55712482	55712482	1024
62	61283730	61283730	61283730	61283730	61283730	61283730	61283730	1024
63	67412103	67412103	67412103	67412103	67412103	67412103	67412103	1024
64	74153313	74153313	74153313	74153313	74153313	74153313	74153313	1024
65	81568644	81568644	81568644	81568644	81568644	81568644	81568644	1024
66	89725509	89725509	89725509	89725509	89725509	89725509	89725509	1024
67	98698059	98698059	98698059	98698059	98698059	98698059	98698059	1024
68	108567865	108567865	108567865	108567865	108567865	108567865	108567865	1024
69	119424652	119424652	119424652	119424652	119424652	119424652	119424652	1024
70	131367117	131367117	131367117	131367117	131367117	131367117	131367117	1024
71	140562815	140562815	140562815	140562815	140562815	140562815	140562815	1024
72	150402212	150402212	150402212	150402212	150402212	150402212	150402212	1024
73	160930367	160930367	160930367	160930367	160930367	160930367	160930367	1024
74	172195493	172195493	172195493	172195493	172195493	172195493	172195493	1024
75	184249178	184249178	184249178	184249178	184249178	184249178	184249178	1024
76	197146620	197146620	197146620	197146620	197146620	197146620	197146620	1024
77	210946883	210946883	210946883	210946883	210946883	210946883	210946883	1024
78	225713165	225713165	225713165	225713165	225713165	225713165	225713165	1024
79	241513087	241513087	241513087	241513087	241513087	241513087	241513087	1024
80	258419003	258419003	258419003	258419003	258419003	258419003	258419003	1024
81	276508333	276508333	276508333	276508333	276508333	276508333	276508333	1024
